gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
0,0,0,0,-1.0798743414126382,1,0,1,2,2,2,2,0,2,0,1,0,1.1063293230270572,-0.7617067815770576
1,0,1,1,1.090267112657709,1,2,1,2,2,0,2,2,2,2,1,3,1.5367527299612957,1.884285906184958
1,0,0,0,-0.7113597548723906,1,2,0,0,2,0,2,0,0,0,1,1,-0.20820702788021367,-0.5972091358805255
0,0,0,0,-0.22000697281872703,1,2,1,0,0,0,0,2,2,0,1,3,0.9866749396322104,0.19153995157075768
1,0,0,0,1.5816198947113727,1,2,1,2,2,2,2,2,2,1,1,0,1.7095868393094074,2.659534918213731
0,0,0,0,0.5170222002617683,1,2,1,0,0,2,0,0,2,0,1,1,0.8121789638480595,0.8400517579964009
1,0,0,0,-1.1617664717549154,1,0,2,1,1,1,1,1,1,0,0,3,-1.4679017863981798,-0.9801826339138353
0,0,0,0,-1.2846046672683313,1,0,2,1,1,1,1,1,1,0,1,3,-1.5044628479910496,-1.0038022421407786
1,0,1,1,0.5989143306040455,1,2,1,0,2,0,0,2,2,0,1,2,1.1462141174920055,1.0861906126719372
1,0,0,0,0.06661548337924335,1,0,0,0,2,0,0,0,0,0,1,2,-0.5006955206231717,-0.2461187946961205
0,0,1,1,-0.5885215593589747,1,0,0,0,0,2,2,0,0,1,1,1,-0.34780380850753456,-0.589520058553139
0,0,0,0,-0.997982211070361,1,0,0,2,0,0,2,0,0,1,0,0,-0.3527894078156531,-0.8146023307775275
1,0,0,0,-1.0389282762414995,0,1,0,0,0,2,2,0,0,1,1,1,-0.975989321330478,-0.9021871081504024
1,0,1,1,-1.1208204065837768,1,2,1,2,0,2,0,0,0,0,1,2,0.6526397859882644,-0.8119509248025666
0,0,0,0,0.2713458092349365,1,0,0,0,0,0,2,0,2,1,0,2,-0.18494089777566036,-0.03623791672817437
1,0,1,1,-0.13811484247644978,1,0,2,1,1,1,1,1,1,0,1,3,-1.4695636528342193,-0.7230846345417941
0,0,1,0,-1.2846046672683313,1,0,0,0,0,0,0,2,0,0,0,3,-0.3212139455309019,-0.9880705666893441
1,0,0,1,-0.05622271213417253,0,1,0,0,0,0,0,0,0,0,0,1,-1.32498127289878,-0.6637152357524613
1,0,0,0,-1.2436586020971927,0,1,0,0,0,0,0,0,0,0,0,3,-1.3482474030033336,-0.9954724083694433
1,0,1,0,1.2540513733422636,1,0,0,2,2,0,2,2,0,1,0,1,0.19728838251343225,0.9534656485753533
1,0,0,0,-0.5066294290166974,1,0,1,0,0,0,0,2,0,0,0,2,0.46318701227975756,-0.2871713972084317
0,0,1,0,1.5816198947113727,1,2,0,0,2,2,2,2,2,2,1,1,0.6127549915233155,1.5923219182421806
0,0,0,0,1.3768895688556795,1,0,0,2,2,2,0,0,0,2,1,0,-0.12345183964219758,0.7628516540254563
1,0,0,0,-0.997982211070361,1,0,0,0,0,0,0,0,0,0,1,3,-0.6552490991748482,-0.8187341050885082
0,0,0,0,-1.2436586020971927,1,2,1,0,0,0,0,2,2,0,1,2,1.034869066277357,-0.9352192075884568
1,0,1,0,-1.202712536926054,0,1,0,2,0,0,2,0,0,0,0,3,-0.9892842528187943,-0.9677873109808932
0,0,0,0,0.5989143306040455,1,0,2,1,1,1,1,1,1,2,0,1,-1.4828585843225357,-0.5573938561565295
1,0,0,0,-1.2436586020971927,0,1,0,0,0,2,0,2,2,0,1,2,-0.5189760514196065,-0.9725377466860314
1,0,0,0,-1.2846046672683313,1,0,1,0,0,0,2,0,0,0,0,2,0.30364783441996246,-0.9797628279677999
0,0,0,0,-1.0389282762414995,1,0,2,1,1,1,1,1,1,1,0,3,-1.4828585843225357,-0.9553919880479509
1,0,1,1,1.4997277643690954,1,2,1,0,2,2,0,2,2,2,1,2,1.334005024764473,2.2124194906361594
1,0,0,0,-1.1208204065837768,1,2,1,0,2,2,0,2,2,0,0,2,1.34397622338071,-0.7691528133567396
0,0,1,0,1.5816198947113727,1,0,2,1,1,1,1,1,1,2,0,3,-1.5044628479910496,-0.38651074107029987
0,0,0,0,-1.2846046672683313,1,0,1,0,2,0,0,0,0,0,1,1,0.3136190330361996,-0.9796302576690518
0,0,1,1,-0.7523058200435292,1,0,1,0,2,0,2,0,2,0,1,1,0.8238120289003366,-0.47849243335165154
0,0,0,0,-0.13811484247644978,1,0,2,1,1,1,1,1,1,0,0,1,-1.5127721801712473,-0.7466158625695719
1,0,0,0,0.9674289171442931,1,0,0,0,2,2,2,2,2,2,1,1,0.5628989984421295,0.99131446886792
1,1,1,0,-1.0798743414126382,1,0,1,0,0,2,0,2,2,0,1,2,1.0265597340971593,-0.7589228053033488
1,1,1,0,-1.2846046672683313,0,1,0,0,2,0,0,2,0,0,0,2,-0.8197738763427618,-0.9946990816267464
0,0,1,1,0.5579682654329069,1,0,1,0,0,2,2,0,2,1,0,0,0.8670205562373643,0.8596942572609032
1,0,0,0,-0.5066294290166974,1,0,1,2,2,2,2,2,2,0,1,0,1.440364476671003,-0.03864627715543064
0,1,0,0,-0.5066294290166974,1,2,1,0,0,0,0,0,2,0,1,1,0.6958483133252922,-0.24907953136816016
0,1,0,0,0.18945367889265924,1,2,1,0,0,0,0,0,0,0,1,2,0.37843182404174147,0.24322027303270388
0,0,1,1,-0.3428451683321429,1,0,2,1,1,1,1,1,1,2,1,3,-1.5011391151189704,-0.7941423146707459
1,0,1,1,-0.13811484247644978,1,0,1,2,0,0,0,2,2,0,0,1,0.9899986725042899,0.15819852143562452
0,0,1,0,-0.4656833638455588,1,2,1,2,0,2,0,2,2,0,1,0,1.3140626275319989,-0.04017083559103307
1,0,1,1,-0.547575494187836,1,2,1,0,0,2,2,2,2,0,0,2,1.2775015659391287,-0.12304936735835233
0,0,0,0,0.8855367868020159,1,0,0,2,0,2,2,2,2,2,0,2,0.5230142039771807,0.8876886853465317
1,0,0,0,-1.2436586020971927,1,0,2,1,1,1,1,1,1,1,0,1,-1.5144340466072868,-0.9999577034770852
0,1,1,0,-0.22000697281872703,1,2,1,2,0,0,2,2,2,0,1,0,1.3107388946599194,0.2547980791233664
1,0,0,0,0.5579682654329069,0,1,0,2,0,2,2,2,2,2,1,0,-0.1367467711305138,0.26613283966632423
0,0,0,0,-0.5885215593589747,1,0,2,1,1,1,1,1,1,0,0,3,-1.50280098155501,-0.8393708815936205
0,0,1,1,0.8036446564597386,1,0,2,1,1,1,1,1,1,2,0,3,-1.4961535158108519,-0.5394084856263781
0,0,1,1,0.435130069919491,1,0,0,0,0,0,0,2,0,0,0,2,-0.2896384832461509,0.09197965721097623
0,0,0,0,-1.202712536926054,1,0,2,1,1,1,1,1,1,0,0,3,-1.4928297829387727,-0.9868332439010289
1,0,0,0,-1.1617664717549154,1,0,0,0,0,0,0,0,0,0,1,1,-0.666882164227125,-0.9346005461942993
1,0,1,1,-1.0798743414126382,1,0,1,0,2,0,0,0,2,0,1,1,0.6210643237035132,-0.8014336811018884
1,1,1,0,0.10756154855038198,1,2,1,0,0,2,0,2,2,0,1,2,1.1944082441371522,0.5065711714956946
0,0,1,1,1.4587816991979567,0,1,0,0,2,2,2,2,2,2,0,1,-0.1517035690548697,0.8033076901934013
0,0,0,0,-1.1208204065837768,1,0,1,0,2,0,0,2,2,0,1,2,1.0431783984575547,-0.7860113363475325
0,0,0,0,-1.202712536926054,1,0,0,0,0,0,0,0,0,0,0,2,-0.673529629971283,-0.958242249471034
0,1,0,0,-1.1617664717549154,1,0,1,0,2,0,0,0,0,0,0,2,0.26210117351897416,-0.8720494602350135
0,0,0,0,-1.1617664717549154,1,2,2,1,1,1,1,1,1,2,1,1,-1.3150100742825428,-0.9607831801970382
0,0,1,0,-1.2436586020971927,1,0,1,0,2,2,0,0,0,0,0,0,0.49310060812846934,-0.9395498373475596
1,0,1,1,0.3122918744060751,1,2,1,2,2,0,2,2,2,0,1,1,1.5035154012405052,0.9624362387906378
1,0,0,0,-0.9160900807280837,1,0,1,0,0,0,2,2,2,0,1,1,1.0049554704286452,-0.630174950169206
1,1,0,0,-0.3428451683321429,1,2,1,0,2,0,0,0,0,0,1,2,0.5196904711051018,-0.08957536692447114
0,1,0,0,1.6225659598825113,1,2,1,2,2,2,2,0,2,2,1,0,1.4137746136943707,2.4117168397540536
0,0,1,0,-0.3428451683321429,1,0,1,0,2,2,0,2,2,0,1,1,1.144552251055966,0.06195248454454399
0,0,0,0,1.6225659598825113,1,2,0,0,2,2,2,2,2,2,0,0,0.7224381763019246,1.7938287723392086
0,0,0,0,-1.2846046672683313,1,0,0,0,0,0,2,0,0,0,1,2,-0.42092593169327386,-0.9893962696768245
0,0,0,0,-0.5885215593589747,1,2,1,0,0,0,2,2,0,0,1,2,0.7806035015633083,-0.2880551992000853
1,0,0,0,-1.1617664717549154,0,1,0,0,0,0,2,0,2,0,1,2,-0.8247594756508806,-0.9406766848869181
1,1,0,0,0.1485076137215206,1,2,1,2,0,0,0,2,0,0,1,2,0.863696823365285,0.39574240174232916
0,0,0,0,-0.8751440155569451,1,2,1,0,0,0,0,0,0,0,0,2,0.3451944953209508,-0.6197681817174845
1,0,0,0,-1.2846046672683313,1,0,1,0,0,0,0,0,0,0,1,2,0.15574172161244393,-0.9817292873992292
1,0,0,0,0.39418400474835236,1,2,1,0,0,2,0,0,0,0,0,2,0.49974807387262754,0.4517312579135868
0,1,1,0,-0.6704136897012519,1,2,1,0,0,0,0,0,2,0,1,1,0.6808915154009363,-0.4047833472477386
1,0,0,0,0.7217525261174614,1,2,1,2,2,2,2,2,2,1,0,1,1.6447740483038655,1.546629355273688
0,0,0,0,-1.2846046672683313,0,1,0,0,0,0,0,0,0,0,0,2,-1.3382762043870962,-1.0015927371616447
0,0,1,1,0.23039974406379785,1,0,2,1,1,1,1,1,1,2,1,3,-1.4928297829387727,-0.6782095884155808
1,1,1,1,-0.3428451683321429,1,2,1,2,0,0,0,0,0,0,1,2,0.49808620743658766,-0.19152192666171744
1,0,1,1,-0.05622271213417253,1,2,0,0,0,0,0,0,2,0,0,0,-0.1716459662873439,-0.20577323377713225
1,0,0,1,-0.997982211070361,1,0,2,1,1,1,1,1,1,0,0,0,-1.509448447299168,-0.9421128631233553
0,1,1,0,0.435130069919491,1,2,1,0,0,2,2,2,2,1,1,2,1.418760213002489,0.9910714233202151
0,0,1,0,1.0083749823154318,1,0,0,2,2,0,2,2,0,2,1,1,0.18233158458907636,0.8102234407780908
0,0,1,1,-0.7932518852146678,1,0,2,1,1,1,1,1,1,2,0,3,-1.462916187090061,-0.892111765445551
1,0,0,0,0.3122918744060751,1,0,1,0,2,0,2,0,2,1,1,1,0.8221501624642966,0.5289534569343228
1,0,1,1,-0.38379123350328154,1,0,2,1,1,1,1,1,1,1,0,3,-1.50280098155501,-0.8193969565822484
0,0,1,1,1.6225659598825113,1,2,0,2,2,2,0,2,2,2,1,1,0.6227261901395527,1.6209571027717584
0,0,0,0,0.9264828519731545,1,2,1,2,0,2,0,0,0,1,1,1,0.6443304538080667,1.0157957840367258
1,0,1,0,0.6398603957751842,1,2,1,2,2,2,0,2,2,0,1,0,1.5483857950135729,1.3362844812601238
1,0,0,0,-1.2846046672683313,1,2,1,0,0,0,0,0,0,0,1,2,0.3352232967047137,-0.9793430220217645
0,0,1,1,0.1485076137215206,1,2,1,0,2,2,0,2,0,0,1,0,1.0797394600504242,0.5155859518105617
1,0,0,0,-0.8751440155569451,1,0,0,0,0,2,0,2,2,0,1,2,0.1490942558682857,-0.6977195173813348
0,0,0,0,-1.2846046672683313,1,2,1,0,0,0,0,2,0,0,1,2,0.6559635188603433,-0.9750786774120357
0,0,1,0,0.8445907216308772,1,2,1,0,2,0,0,2,2,0,1,1,1.1146386552072547,1.263105676351203
1,0,1,0,1.540673829540234,0,1,0,0,2,2,2,0,2,1,1,0,-0.45914885972218333,0.5939129033208648
1,0,0,0,-0.8341979503858065,1,0,1,0,0,2,0,2,2,1,0,2,1.02489786766112,-0.4892527226000345
1,0,1,0,-0.42473729867442017,1,0,1,0,0,2,0,2,2,0,1,1,0.9916605389403292,-0.16626728475021488
0,0,1,1,0.9264828519731545,1,0,1,0,0,0,0,0,0,2,1,1,0.1391230572520486,0.6855852649051376
0,1,0,0,-0.17906090764758842,1,2,0,0,2,2,2,0,0,0,0,0,-0.01376865486358826,-0.18716920185282335
0,0,1,1,1.0493210474865704,1,0,2,1,1,1,1,1,1,2,1,3,-1.4961535158108519,-0.5003665326450789
1,0,0,0,-0.547575494187836,1,0,2,1,1,1,1,1,1,1,1,1,-1.5011391151189704,-0.8416687667719199
0,0,0,0,-0.547575494187836,1,2,1,2,2,0,0,0,2,0,1,2,1.0066173368646851,-0.2217921448758543
1,0,0,0,-0.05622271213417253,1,0,0,2,2,2,2,2,0,0,1,0,0.25212997490273703,-0.05961447940741296
0,0,0,0,-0.7932518852146678,1,2,1,0,2,2,2,0,0,0,0,2,0.8155026967201389,-0.5120769090344895
1,0,0,0,-1.2846046672683313,1,0,2,1,1,1,1,1,1,0,1,3,-1.484520450758575,-1.0035371015432826
1,0,1,1,-1.2846046672683313,1,0,1,0,0,0,0,0,0,0,1,3,0.19230278320531394,-0.9812431963038196
0,1,0,0,-0.5885215593589747,1,0,1,0,2,0,0,0,0,0,1,2,0.28869103649560657,-0.41172119288221964
1,0,0,0,-0.7932518852146678,1,0,2,1,1,1,1,1,1,1,1,3,-1.4928297829387727,-0.8988949457314926
0,0,1,1,-1.2436586020971927,1,0,2,1,1,1,1,1,1,1,0,3,-1.4811967178864962,-0.9983668598921087
1,0,1,0,1.540673829540234,1,0,0,2,2,2,2,0,0,2,0,1,0.0028500094968070704,0.9863651777146597
1,1,1,0,0.4760761350906296,1,0,2,1,1,1,1,1,1,2,1,1,-1.5127721801712473,-0.6380628829447147
0,0,1,1,-1.1617664717549154,1,0,2,1,1,1,1,1,1,0,0,3,-1.462916187090061,-0.9846679290214775
1,0,1,0,1.3359435036845408,1,2,0,2,0,2,2,0,2,2,0,0,0.3751080911696626,1.165909552319095
0,1,0,0,1.5816198947113727,1,2,1,2,2,0,2,2,0,1,1,1,1.1561853161082432,2.1609380246223355
0,0,1,1,1.2949974385134022,1,2,0,0,2,0,0,0,0,1,1,0,-0.36608433930396933,0.48993359900281497
0,0,1,0,-0.17906090764758842,1,0,1,2,0,0,0,2,2,0,1,3,0.9135528164464709,0.1377606003786343
0,1,0,0,-0.6704136897012519,1,2,1,0,0,0,0,2,2,0,1,2,1.0481639977656734,-0.3137296470576233
0,0,1,1,1.540673829540234,1,2,1,2,2,2,2,2,2,2,1,0,1.6397884489957473,2.400735600007757
0,0,1,1,0.2713458092349365,1,0,1,0,0,2,2,0,0,0,1,0,0.5529277998258925,0.36065546267368015
1,0,0,0,-0.547575494187836,1,0,0,0,0,0,0,0,0,0,1,0,-0.6602346984829667,-0.6298435244223359
0,0,0,0,1.1312131778288477,1,0,1,2,0,2,2,2,2,0,1,0,1.3323431583284335,1.7435625340639083
1,0,1,0,0.7626985912886,1,2,1,0,2,0,0,0,2,1,1,1,0.8470781590048896,1.026710738633648
0,1,0,0,0.9674289171442931,1,2,1,2,2,2,0,2,2,1,0,2,1.5168103327288216,1.7005876622197504
1,0,1,0,1.3768895688556795,1,2,1,0,2,2,0,2,2,0,1,1,1.334005024764473,2.1397267768226484
0,0,1,1,1.0493210474865704,0,1,0,0,0,2,2,2,2,2,1,1,-0.3112427469146648,0.3869927620249583
0,0,1,1,1.4997277643690954,1,0,0,0,2,2,2,0,0,1,0,0,-0.19158836351981834,0.8146645457861504
0,0,0,0,-0.22000697281872703,1,0,0,0,2,0,2,0,0,0,1,3,-0.2896384832461509,-0.37641330331565714
0,0,0,0,-1.2846046672683313,1,0,0,0,2,0,0,0,0,0,1,2,-0.5405803150881203,-0.990987113261801
0,0,0,0,-1.0798743414126382,1,0,2,1,1,1,1,1,1,0,0,3,-1.4911679165027332,-0.964207912914696
0,0,0,0,-1.0389282762414995,0,1,0,0,0,0,0,0,0,0,0,0,-1.3233194064627405,-0.9285244075016806
1,1,0,0,-0.997982211070361,1,0,1,0,0,0,0,0,0,0,1,2,0.16072732092056272,-0.7646233281495147
1,0,1,1,-0.7113597548723906,1,0,0,0,2,2,2,0,2,0,1,3,0.1540798551764045,-0.5390107747301339
1,0,0,0,-0.9570361458992224,1,0,2,1,1,1,1,1,1,0,0,3,-1.477872985014417,-0.9321259006176691
1,0,0,0,-0.8341979503858065,1,2,0,2,2,0,2,0,0,0,1,2,0.07929586555462549,-0.6446693028323256
0,0,1,0,-0.30189910316100427,1,0,0,2,2,0,2,0,2,0,1,3,0.20559771469362992,-0.20038204162804507
0,0,1,1,-0.17906090764758842,1,0,1,0,0,0,0,0,2,0,1,2,0.5379710019015366,-0.02830579385308311
0,0,0,0,0.6808064609463228,1,0,1,0,0,2,2,2,2,2,0,1,1.1894226448290337,1.1606951205683385
1,1,1,0,1.0083749823154318,0,1,0,0,0,0,0,2,2,0,1,2,-0.6652202977910853,0.12452566555362105
1,0,1,0,-0.8751440155569451,1,0,2,1,1,1,1,1,1,1,1,3,-1.4728873857062985,-0.9307339124808147
0,0,1,1,0.18945367889265924,1,2,1,0,0,0,0,2,2,0,1,2,1.0099410697367641,0.45206268366045693
1,0,1,0,0.3122918744060751,1,2,1,0,2,0,0,2,2,0,1,2,1.2110269084975473,0.8051194842762914
1,0,0,0,0.8855367868020159,0,1,0,2,0,0,2,2,0,2,0,1,-0.6535872327388085,0.07485599362268712
1,0,1,0,-0.8341979503858065,1,0,1,0,2,0,0,0,2,0,1,1,0.6709203167846992,-0.570650886031334
1,0,0,0,-1.1617664717549154,1,0,0,0,0,0,0,0,2,0,1,3,-0.317890212658823,-0.9070701141542887
1,0,1,1,1.3768895688556795,1,0,1,2,2,2,0,2,2,1,1,0,1.2725159666310104,2.094674970298105
1,0,1,1,1.540673829540234,0,1,0,2,0,2,2,2,2,2,0,0,-0.17829343203150214,0.8191277458440014
0,0,0,0,-1.2846046672683313,1,0,1,0,0,2,0,0,0,0,1,2,0.33356143026867424,-0.9793651170715557
1,0,0,0,1.0493210474865704,1,2,1,0,2,2,0,2,2,1,1,0,1.2758396995030894,1.6467420258782528
1,1,0,0,0.5989143306040455,1,2,1,0,0,0,0,2,0,0,1,1,0.7041576455054899,0.6957489878091544
0,1,0,0,-1.1617664717549154,1,0,1,0,0,0,0,2,0,0,1,2,0.464848878715797,-0.8830748900808926
0,0,1,1,1.0083749823154318,1,0,0,2,0,2,2,0,0,1,1,3,-0.18494089777566036,0.4344750240265496
0,0,0,0,-0.7113597548723906,1,0,1,0,0,2,0,2,2,0,1,1,0.9683944088357757,-0.34720364749150456
0,0,0,0,-0.3428451683321429,1,2,1,0,0,0,2,0,2,0,1,2,0.8204882960282571,-0.014054486737668306
0,0,0,0,-0.5066294290166974,1,0,2,1,1,1,1,1,1,1,1,1,-1.5127721801712473,-0.8207889447191029
1,1,1,0,1.1721592429999863,1,2,1,0,2,2,2,2,0,1,1,3,1.1113149223351755,1.6683509845741844
0,0,1,0,-0.6704136897012519,0,1,0,0,0,0,2,2,2,0,1,2,-0.49570992131505287,-0.6544353148400982
0,0,1,0,1.6225659598825113,1,2,1,0,2,0,0,2,2,2,1,1,1.0913725251027013,2.0232637693724915
0,1,0,0,-0.7523058200435292,0,1,0,2,0,2,2,0,0,2,0,3,-0.8363925407031572,-0.7065133471982884
1,0,0,0,-1.2436586020971927,1,0,0,0,0,0,0,0,0,0,0,0,-0.6253355033261366,-0.9769567566442996
1,0,1,1,1.2949974385134022,1,2,1,2,2,2,0,0,0,0,1,2,0.8952722856500361,1.6214873839667505
1,0,1,0,-0.09716877730531116,1,0,2,1,1,1,1,1,1,1,0,1,-1.4978153822468916,-0.757641292415451
1,0,1,0,1.2949974385134022,1,2,1,2,2,2,0,0,0,1,0,0,0.8171645631561782,1.5031242022345377
1,0,0,0,1.1721592429999863,1,2,1,2,0,2,2,2,2,2,1,1,1.5533713943216911,2.026069840695992
0,0,1,1,0.7217525261174614,1,2,0,0,2,2,2,2,2,1,1,1,0.6410067209359879,0.8277890053622068
0,0,0,0,0.5989143306040455,1,2,1,2,0,2,0,2,0,1,0,1,0.9983080046844874,1.0270200693307268
1,0,0,0,0.7626985912886,1,2,0,2,0,0,2,0,0,1,0,1,-0.1649985005431859,0.3325063692395119
0,0,0,0,0.18945367889265924,1,2,1,2,2,2,0,0,0,0,0,0,0.875329888417562,0.48217823652605446
0,1,1,0,1.2949974385134022,1,0,1,2,2,2,0,0,2,1,0,0,1.0681063949981477,1.8293576124036843
1,0,1,0,1.1312131778288477,0,1,0,0,2,2,2,2,2,0,1,0,-0.15502730192694858,0.5706026257910002
1,0,0,0,-1.2846046672683313,1,0,2,1,1,1,1,1,1,0,0,3,-1.489506050066694,-1.0036033866926566
1,0,1,0,-0.7523058200435292,1,0,0,0,2,2,2,2,2,2,0,3,0.5678845977502484,-0.4902469998406448
0,0,0,0,-1.2846046672683313,1,2,1,0,0,0,0,0,0,0,0,2,0.3701224918615438,-0.9788790259761462
0,0,1,1,-0.6294676245301133,1,2,1,0,0,2,0,2,0,0,0,2,0.7772797686912294,-0.3670008121045459
1,0,0,0,1.2540513733422636,1,2,1,2,2,2,2,2,0,1,0,1,1.3173863604040776,1.9000175816363927
